Gol,Başarılı Top Sürme,Başarılı Top Sürme %,Toplam Şut,İsabetli Şut,Yaratılan Büyük Şans,İsabetli Pas,İsabetli Pas %,Kilit Pas,İsabetli Orta,İsabetli Uzun Top,Top Çalma,Pas Arası,Zeminde Kazanılan İkili Mücadele,Kazanılan Hava Topu Mücadelesi,Kazanılan Toplam İkili Mücadele %,Kendisine Yapılan Faul,player.name,player.slug,team.name,team.shortName
0.37,1.18,56.41,2.03,0.59,0.32,32.98,81.37,1.66,0.27,1.34,0.91,0.21,3.0,0.21,48.0,0.91,Efkan Bekiroğlu,efkan-bekiroglu,,MKE Ankaragücü
0.37,0.58,29.73,2.46,0.79,0.0,11.79,66.57,0.73,0.1,0.37,0.58,0.1,2.04,1.78,37.44,0.89,Carlos Strandberg,carlos-strandberg,,Hatayspor
0.36,0.83,58.33,1.91,0.83,0.12,7.87,56.41,0.6,0.0,0.72,0.12,0.0,2.03,3.81,43.36,1.31,Riad Bajić,riad-bajic,,MKE Ankaragücü
0.35,0.97,55.0,2.29,0.88,0.09,13.47,71.16,0.44,0.09,0.44,0.09,0.09,2.38,2.2,43.7,1.32,Vincent Aboubakar,vincent-aboubakar,,Beşiktaş
0.35,1.34,60.53,2.44,0.81,0.17,32.46,80.17,0.64,0.35,1.45,0.76,0.29,2.73,1.22,40.24,0.64,Olivier Ntcham,olivier-ntcham,,Yılport Samsunspor
0.34,0.26,22.58,2.74,1.05,0.53,20.39,77.57,2.25,1.58,0.94,2.59,0.45,4.36,0.23,49.8,1.5,Sebastian Szymański,sebastian-szymanski,,Fenerbahçe
0.33,0.11,100.0,0.56,0.44,0.0,52.72,87.63,0.28,0.0,2.72,1.22,1.61,2.0,2.06,54.48,0.67,Omar Colley,omar-colley,,Beşiktaş
0.33,0.33,33.33,1.76,0.66,0.44,24.49,86.05,0.99,0.11,0.44,1.88,0.55,4.41,0.77,43.93,2.21,Mehdi Abeid,mehdi-abeid,,Başakşehir FK
0.32,1.28,80.0,2.87,0.96,0.0,12.77,54.05,0.32,0.64,0.32,0.96,0.96,3.19,1.6,45.45,0.96,Leandro Kappel,leandro-kappel,,Pendikspor
0.31,0.73,63.64,3.15,1.05,0.0,13.01,57.94,0.73,0.1,0.21,1.15,0.31,2.94,7.03,45.45,1.05,Ercan Kara,ercan-kara,,Yılport Samsunspor
0.31,0.94,56.25,1.5,0.77,0.83,27.97,74.65,2.44,1.5,0.42,0.97,0.45,3.13,0.42,44.54,1.22,Dušan Tadić,dusan-tadic,,Fenerbahçe
0.31,1.88,65.22,2.07,1.13,0.38,33.67,82.39,2.13,0.38,2.82,0.5,0.25,4.76,0.5,58.33,2.44,Samu Sáiz,samu-saiz,,Sivasspor
0.31,1.97,73.08,2.59,0.93,0.31,24.44,81.1,1.24,0.1,0.41,2.07,0.41,5.8,1.04,50.77,1.76,Thuram,thuram,,Pendikspor
0.31,1.36,44.0,1.61,0.93,0.0,19.4,80.67,0.62,0.5,0.93,0.99,0.31,3.53,0.81,40.94,1.24,Louka Prip,prip-louka,,Konyaspor
0.3,0.3,37.5,1.73,0.71,0.1,16.76,70.82,0.51,0.1,0.3,0.51,0.0,2.84,4.06,50.75,2.13,Mehmet Umut Nayir,mehmet-umut-nayir,,Pendikspor
0.3,0.95,47.17,1.71,0.64,0.15,11.45,66.96,1.74,0.34,0.11,0.72,0.61,2.77,1.02,43.1,1.14,Mamadou Fall,mamadou-fall,,Kasımpaşa
0.29,1.72,45.57,2.44,0.81,0.1,19.07,71.76,1.15,0.29,0.76,0.67,0.33,3.92,1.05,39.54,1.58,Güven Yalçın,guven-yalcin,,Fatih Karagümrük
0.29,2.47,65.0,2.09,0.67,0.38,22.43,76.38,1.33,1.43,2.47,0.95,0.48,4.94,2.28,47.8,1.62,Didier Lamkel Zé,didier-lamkel-ze,,Hatayspor
0.28,1.31,58.33,2.16,1.13,0.47,26.06,78.98,1.5,1.22,1.59,1.5,0.84,3.38,0.47,42.27,0.56,Dimitrios Pelkas,dimitrios-pelkas,,Başakşehir FK
0.28,0.83,50.0,1.65,0.83,0.07,11.89,61.35,0.89,0.0,0.48,0.41,0.14,2.61,2.82,38.92,1.38,Renat Dadaşov,renat-dadasov,,Hatayspor
0.27,0.44,44.44,2.68,0.71,0.33,12.91,67.24,0.98,0.11,0.38,0.66,0.05,2.3,3.12,51.56,1.37,Cenk Tosun,cenk-tosun,,Beşiktaş
0.27,0.55,57.14,2.79,0.82,0.27,41.49,82.97,1.7,0.61,3.41,1.84,0.41,4.02,0.61,52.71,1.7,Anastasios Bakasetas,anastasios-bakasetas,,Trabzonspor
0.26,0.99,44.12,1.72,0.99,0.07,19.16,79.23,0.99,0.0,0.79,1.19,0.33,3.77,0.99,38.92,1.65,Emir Kaan Gültekin,emir-kaan-gultekin,,İstanbulspor
0.26,0.92,63.64,1.18,0.53,0.13,20.76,76.7,1.45,0.66,2.76,0.53,0.79,1.71,0.13,45.16,0.26,Robert Murić,robert-muric,,Konyaspor
0.26,0.79,45.0,1.75,0.7,0.0,11.38,68.42,0.53,0.18,0.18,0.88,0.09,3.15,2.98,46.98,1.49,Sergio Córdova,sergio-cordova,,Alanyaspor
0.26,2.58,52.21,2.54,1.01,0.13,14.95,68.95,0.96,0.22,0.35,1.36,0.31,5.11,1.31,43.11,1.22,Aylton Boa Morte,aylton-boa-morte,,Kayserispor
0.26,0.62,66.67,1.55,0.41,0.1,52.59,82.72,0.98,0.36,4.72,2.18,1.87,3.58,1.04,48.9,0.78,Tolga Ciğerci,tolga-cigerci,,MKE Ankaragücü
0.26,0.78,32.61,2.02,0.83,0.26,21.17,77.76,1.4,0.47,1.97,0.98,0.62,4.19,1.04,42.8,2.48,João Figueiredo,joao-figueiredo,,Başakşehir FK
0.26,0.83,59.26,1.96,0.67,0.36,45.96,82.47,1.91,1.6,3.15,2.74,0.88,4.6,1.14,48.9,1.03,Kerem Demirbay,kerem-demirbay,,Galatasaray
0.25,1.15,76.19,2.12,0.72,0.25,28.3,75.6,1.4,0.58,2.34,2.23,0.76,5.43,0.9,58.47,2.12,Emre Akbaba,emre-akbaba,Adana Demirspor,
0.24,0.57,35.29,3.64,1.47,0.61,26.57,76.67,2.6,2.03,1.42,1.47,0.47,3.21,0.19,38.5,1.18,Dries Mertens,dries-mertens,Galatasaray,
0.23,1.03,59.46,2.06,0.8,0.28,27.91,81.73,1.41,0.98,2.72,0.89,0.33,2.86,0.56,45.91,0.94,João Novais,joao-novais,Alanyaspor,
0.23,0.93,48.48,1.23,0.41,0.29,14.13,68.17,1.34,0.12,0.47,1.23,0.7,3.68,1.46,41.12,1.52,Benhur Keser,benhur-keser,Çaykur Rizespor,
0.23,1.03,39.13,1.61,0.34,0.34,28.2,74.55,1.38,0.57,1.72,1.38,0.92,3.9,0.46,47.5,1.49,Carlos Mané,carlos-mane,Kayserispor,
0.23,1.09,63.16,2.05,0.77,0.55,39.2,80.11,2.77,1.59,3.46,1.68,0.41,4.32,0.73,54.41,1.55,Valentin Eysseric,valentin-eysseric,Fatih Karagümrük,
0.22,2.06,59.78,1.91,0.78,0.07,22.95,77.92,1.12,0.22,1.23,1.91,1.16,6.47,1.12,52.59,2.54,Ibrahim Olawoyin,ibrahim-olawoyin,Çaykur Rizespor,
0.22,0.93,62.96,2.2,0.99,0.11,11.26,71.18,0.66,0.0,0.55,0.27,0.22,2.31,1.7,33.64,1.1,Ali Sowe,ali-sowe,MKE Ankaragücü,
0.22,1.1,66.67,1.1,0.48,0.15,27.93,73.58,1.32,0.62,1.39,1.24,0.81,3.4,1.65,52.67,1.06,Mortadha Ben Ouanes,mortadha-ben-ouanes,Kasımpaşa,
0.22,1.73,61.54,2.39,0.87,0.0,11.06,78.46,0.87,0.0,0.22,0.22,0.22,3.04,1.3,34.48,1.08,Britt Assombalonga,britt-assombalonga,Antalyaspor,
0.21,0.97,41.86,2.31,0.91,0.38,19.24,72.03,1.88,1.61,1.5,1.24,0.21,3.6,0.27,43.9,1.4,Milot Rashica,milot-rashica,Beşiktaş,
0.21,1.36,57.58,0.29,0.21,0.0,27.79,87.02,0.36,0.21,0.71,2.0,1.21,4.79,0.57,57.25,1.43,Bright Osayi-Samuel,bright-osayi-samuel,Fenerbahçe,
0.21,0.85,44.44,1.49,0.85,0.11,19.6,77.64,0.96,0.21,1.38,2.56,0.85,5.11,0.43,50.0,1.7,Taxiarchis Fountas,taxiarchis-fountas,Trabzonspor,
0.21,0.0,0.0,2.11,0.42,0.21,43.0,82.93,1.26,1.05,3.37,2.32,0.63,2.95,2.53,48.15,0.63,Soner Aydoğdu,soner-aydogdu,Yılport Samsunspor,
0.21,0.83,47.62,0.92,0.42,0.25,19.2,68.2,0.92,0.79,1.29,1.87,0.75,3.17,1.42,48.03,0.46,Rigoberto Rivas,rigoberto-rivas,Hatayspor,
0.2,0.92,42.59,1.6,0.56,0.24,21.25,73.82,0.88,0.76,1.32,1.08,0.76,3.65,0.68,43.55,1.68,Yusuf Erdoğan,yusuf-erdogan,Adana Demirspor,
0.2,1.34,51.92,2.19,0.85,0.15,29.2,81.53,1.69,1.0,1.59,1.34,0.4,4.28,0.15,48.37,1.59,Enis Bardhi,enis-bardhi,Trabzonspor,
0.2,1.43,59.46,1.96,0.65,0.13,13.04,67.34,0.78,0.2,0.85,2.09,0.39,6.2,1.7,51.93,2.67,Carlos Eduardo,carlos-eduardo,Alanyaspor,
0.19,0.43,26.83,1.98,0.86,0.16,21.94,75.91,1.4,0.62,0.47,2.26,0.43,3.46,1.01,40.21,0.82,Carlo Holse,carlo-holse,Yılport Samsunspor,
0.19,1.25,50.0,1.83,0.58,0.0,20.91,78.91,0.87,0.77,0.87,0.96,1.06,3.28,0.67,40.59,1.06,Abdoulay Diaby,abdoulay-diaby,Pendikspor,
0.19,0.96,62.5,1.92,0.51,0.19,12.48,73.58,0.7,0.19,0.51,1.15,0.32,3.71,1.54,41.62,1.6,Martin Minchev,minchev-martin,,Çaykur Rizespor
0.19,1.34,43.75,2.3,0.77,0.0,12.86,69.79,0.77,0.19,0.38,2.3,0.19,5.18,2.69,38.68,1.73,Brayan Riascos,brayan-riascos,,Gaziantep FK
0.19,0.76,84.21,0.48,0.24,0.05,54.14,88.28,0.38,0.1,2.19,1.14,1.76,3.14,2.1,57.89,1.24,Jerome Opoku,opoku-jerome,,Başakşehir FK
0.19,2.02,65.85,1.19,0.45,0.11,20.49,86.19,1.19,0.19,0.15,0.9,0.22,3.51,0.71,45.56,0.6,Oluwafisayo Dele-Bashiru,dele-bashiru-oluwafisayo,,Hatayspor
0.19,1.86,44.12,1.93,0.43,0.25,19.13,81.48,1.18,0.25,0.68,1.18,0.62,4.84,1.24,41.35,1.8,Babajide David Akintola,babajide-david-akintola,,Çaykur Rizespor
0.19,0.56,46.15,1.3,0.42,0.05,30.19,81.07,1.02,0.28,1.02,1.02,0.79,3.2,0.97,47.62,1.62,Marcus Rohdén,marcus-rohden,,Fatih Karagümrük
0.18,1.91,49.41,1.46,0.46,0.09,25.22,75.58,2.37,1.27,0.86,1.37,1.27,4.01,0.18,42.79,0.73,Sam Larsson,sam-larsson,,Antalyaspor
0.17,2.31,56.34,2.37,1.1,0.17,11.51,73.7,0.81,0.12,0.23,1.5,0.69,5.21,0.75,47.47,1.39,Renaldo Cephas,renaldo-cephas,,MKE Ankaragücü
0.17,0.0,0.0,1.53,0.51,0.0,16.98,68.97,1.02,0.0,0.17,1.19,1.02,2.89,3.06,38.04,1.87,Armin Hodžić,armin-hodzic,,Hatayspor
0.17,2.71,56.47,0.9,0.23,0.11,36.41,82.78,0.51,0.4,1.02,2.2,1.13,6.22,1.02,55.9,1.36,Loide Augusto,loide-augusto,,Alanyaspor
0.17,2.29,56.94,3.02,1.29,0.5,20.85,79.03,2.29,1.62,2.57,1.12,0.39,4.53,0.11,52.87,1.17,Yusuf Sarı,yusuf-sari,,Adana Demirspor
0.17,1.75,52.5,1.83,0.58,0.33,24.48,80.55,1.75,1.42,1.58,1.58,0.75,4.75,0.83,43.79,1.42,Ryan Mendes,ryan-mendes,,Fatih Karagümrük
0.17,1.99,48.0,1.83,1.0,0.08,15.77,73.36,1.25,0.25,0.33,0.91,0.33,3.24,0.42,32.59,0.33,Clinton N'Jie,clinton-njie,,Sivasspor
0.16,0.81,50.0,2.58,0.72,0.08,13.04,67.78,0.64,0.24,0.72,0.48,0.32,2.01,2.25,38.41,0.81,Kevin Lasagna,kevin-lasagna,,Fatih Karagümrük
0.16,0.59,64.71,1.23,0.32,0.05,49.26,84.17,0.48,0.27,3.64,1.18,1.39,2.62,3.75,61.98,0.86,Abdülkerim Bardakcı,abdulkerim-bardakci,,Galatasaray
0.16,0.98,58.14,1.6,0.55,0.08,28.13,77.73,0.86,0.78,2.19,2.31,0.47,4.62,0.51,43.52,1.33,Florian Loshaj,florian-loshaj,,İstanbulspor
0.16,0.98,53.19,2.15,0.55,0.47,28.58,75.7,2.85,1.99,2.26,1.05,0.98,2.66,0.08,39.77,0.62,Edin Višća,edin-visca,,Trabzonspor
0.16,1.56,45.98,1.91,0.7,0.23,18.89,74.12,1.13,0.62,0.59,2.11,0.59,4.57,0.86,43.57,0.9,Halil Akbunar,halil-akbunar,,Pendikspor
0.15,1.37,55.1,2.33,0.91,0.15,16.85,74.16,0.96,0.86,0.35,0.81,0.51,3.09,0.25,40.49,0.96,Can Keleş,can-keles,,Fatih Karagümrük
0.15,1.91,54.17,1.76,0.44,0.0,12.5,58.62,0.59,0.29,0.15,0.59,0.44,4.71,3.97,47.2,2.21,Philippe Keny,philippe-keny,,Başakşehir FK
0.15,0.53,73.33,1.07,0.24,0.1,35.24,79.17,1.65,0.97,4.56,2.18,0.53,4.03,0.97,55.68,1.31,Pedrinho,pedrinho,,MKE Ankaragücü
0.15,0.15,42.86,0.73,0.29,0.05,39.25,80.82,0.29,0.0,3.25,1.46,0.87,2.09,2.77,53.19,0.49,Rick Van Drongelen,rick-van-drongelen,,Yılport Samsunspor
0.14,2.17,63.83,3.19,1.01,0.07,19.62,75.07,0.58,0.14,0.87,1.95,0.72,5.94,3.26,55.95,1.88,Jackson Muleka,jackson-muleka,,Beşiktaş
0.14,2.14,48.91,1.76,0.76,0.48,16.08,73.0,1.62,0.52,1.28,0.95,0.38,3.85,0.62,49.21,0.76,Altin Zeqiri,zeqiri-altin,,Çaykur Rizespor
0.14,2.56,64.29,2.27,0.99,0.0,35.49,89.61,0.99,0.57,0.99,1.42,0.43,6.53,0.43,58.33,2.56,Pione Sisto,pione-sisto,,Alanyaspor
0.14,2.27,58.33,1.72,0.46,0.28,24.41,75.25,1.53,0.46,0.84,2.23,0.6,5.94,2.41,51.43,1.53,Barış Alper Yılmaz,baris-alper-yilmaz,,Galatasaray
0.14,1.23,51.43,1.23,0.61,0.14,23.96,78.57,1.36,0.75,0.95,0.89,0.54,2.66,0.2,40.0,0.54,Lazar Marković,lazar-markovic,,Gaziantep FK
0.14,0.0,0.0,0.77,0.23,0.05,29.56,79.22,0.23,0.0,2.18,1.68,1.13,2.45,2.4,59.78,0.82,Arda Kızıldağ,arda-kizildag,,Gaziantep FK
0.13,1.01,88.24,1.62,0.34,0.27,42.27,86.03,1.68,1.35,2.96,1.48,0.4,2.76,0.2,47.31,0.27,Nicolas Janvier,nicolas-janvier,,Alanyaspor
0.13,0.74,59.46,1.91,0.54,0.37,29.92,74.05,2.88,1.71,2.65,1.81,0.54,4.52,0.7,51.49,2.01,Haris Hajradinović,haris-hajradinovic,,Kasımpaşa
0.13,0.79,51.43,1.41,0.31,0.26,37.85,80.41,1.37,0.35,4.37,2.12,0.66,3.57,2.03,45.85,0.71,Ali Karimi,ali-karimi,,Kayserispor
0.13,0.4,85.71,0.99,0.26,0.0,55.04,82.61,0.2,0.0,3.49,2.04,1.19,3.29,2.96,57.58,0.86,Davinson Sánchez,davinson-sanchez,,Galatasaray
0.13,1.14,56.52,1.05,0.13,0.53,20.0,73.55,1.8,0.75,0.88,2.06,0.7,4.61,0.92,49.03,1.4,Emre Kılınç,emre-kilinc,,Yılport Samsunspor
0.13,0.76,38.71,1.96,0.51,0.44,44.94,83.53,1.58,0.38,2.59,1.9,1.08,4.3,0.25,45.0,1.84,Fred,fred,,Fenerbahçe
0.13,1.39,55.0,1.64,0.63,0.38,26.97,81.37,1.51,0.63,0.76,2.02,0.76,4.66,0.5,41.0,1.26,Roman Kvet,roman-kvet,,Sivasspor
0.13,0.97,48.94,1.22,0.29,0.21,27.51,75.64,1.13,0.76,2.31,1.47,1.6,3.44,0.71,46.92,1.05,Erdoğan Yeşilyurt,erdogan-yesilyurt,,Antalyaspor
0.13,1.01,32.0,2.14,0.88,0.13,22.28,81.94,1.64,0.38,0.63,0.88,0.0,3.65,0.5,42.31,1.76,Garry Rodrigues,garry-rodrigues,,MKE Ankaragücü
0.12,0.37,37.5,2.09,0.25,0.37,28.36,80.77,1.11,0.74,1.23,2.09,0.49,5.16,0.49,55.42,2.7,Endri Çekiçi,endri-cekici,,Pendikspor
0.12,0.79,36.11,2.36,0.97,0.18,19.5,71.08,0.91,0.3,0.97,2.12,1.03,3.88,2.3,47.0,0.97,Sander van de Streek,sander-van-de-streek,,Antalyaspor
0.12,1.14,43.94,1.73,0.39,0.16,25.05,80.33,0.79,0.04,1.69,1.61,0.35,4.84,0.79,45.69,2.08,Dario Šarić,dario-saric,,Antalyaspor
0.12,1.28,37.29,1.75,0.47,0.23,14.76,71.07,1.57,0.93,0.64,0.64,0.29,3.38,0.41,36.11,1.46,Valon Ethemi,valon-ethemi,,Konyaspor
0.11,0.74,59.09,1.25,0.29,0.11,26.06,79.76,1.03,0.57,1.31,2.0,1.03,3.25,0.68,53.91,0.63,Gökcan Kaya,gokcan-kaya,,Pendikspor
0.11,0.22,40.0,0.9,0.28,0.17,34.57,79.77,1.18,1.07,5.68,1.29,0.79,2.36,0.9,53.21,0.84,Jure Balkovec,jure-balkovec,,Alanyaspor
0.11,0.89,57.14,1.22,0.33,0.11,38.52,77.68,1.66,0.44,2.32,1.66,0.77,3.54,1.44,35.71,1.0,Eduart Rroca,eduart-rroca,,İstanbulspor
0.11,0.93,51.52,1.37,0.38,0.05,29.56,84.72,0.44,0.22,2.14,1.92,1.48,4.95,1.1,56.12,2.14,Ogün Özçiçek,ogun-ozcicek,,Gaziantep FK
0.11,0.16,100.0,0.6,0.11,0.05,48.24,85.18,0.27,0.0,4.25,1.69,2.29,2.73,2.67,61.49,0.93,Alexander Djiku,alexander-djiku,,Fenerbahçe
0.11,0.33,60.0,0.33,0.22,0.11,52.02,85.2,0.22,0.0,4.57,1.52,0.54,2.18,1.74,54.55,0.33,Fatih Aksoy,fatih-aksoy,,Alanyaspor
0.11,0.32,66.67,0.76,0.16,0.0,37.86,79.73,0.49,0.0,3.68,1.84,1.73,3.19,2.54,56.99,1.08,Chandrel Massanga,chandrel-massanga,,Hatayspor
0.11,0.21,66.67,0.85,0.27,0.05,44.6,78.35,0.48,0.16,4.64,2.29,1.81,3.63,1.81,59.3,1.12,Welinton,welinton,,Pendikspor
0.11,0.26,50.0,0.74,0.42,0.05,53.61,86.46,0.79,0.0,2.85,1.06,0.63,1.69,3.8,65.41,0.42,Steven​ N'Zonzi,steven-nzonzi,,Konyaspor
0.1,1.15,60.0,0.97,0.28,0.07,22.64,72.44,0.73,0.49,1.94,2.19,1.28,4.38,1.63,51.03,1.08,Cláudio Winck,claudio-winck,,Kasımpaşa
0.1,1.54,50.0,2.67,1.03,0.51,45.51,82.22,2.36,1.95,2.67,1.54,0.41,4.31,0.62,39.02,1.23,Rachid Ghezzal,rachid-ghezzal,,Beşiktaş
0.1,0.75,66.67,0.44,0.14,0.27,29.52,75.61,2.35,2.22,2.66,2.25,1.5,3.52,0.82,63.5,0.55,Guilherme Haubert Sityá,guilherme-haubert-sitya,,Konyaspor
0.1,0.25,62.5,0.6,0.15,0.05,37.48,82.48,0.1,0.0,3.34,0.9,1.0,1.69,2.14,53.47,0.6,Attila Mocsi,attila-mocsi,,Çaykur Rizespor
0.1,1.16,50.0,1.16,0.39,0.19,23.68,79.8,0.97,0.29,1.06,1.74,0.77,4.64,0.87,40.43,1.74,Emirhan İlkhan,emirhan-ilkhan,,Başakşehir FK
0.1,2.32,51.06,1.55,0.34,0.19,17.78,80.0,0.87,0.29,0.72,2.08,0.87,7.44,0.58,49.85,3.04,Marlos Moreno,marlos-moreno,,Konyaspor
0.09,1.93,47.73,1.29,0.74,0.37,14.8,77.4,2.11,1.29,0.55,1.56,0.37,4.96,0.28,51.82,1.47,Modou Barrow,modou-barrow,,Sivasspor
0.09,2.02,61.97,1.88,0.46,0.09,19.99,73.9,1.38,0.83,1.83,1.65,0.6,5.18,0.09,44.75,1.51,Olimpiu Moruțan,olimpiu-morutan,,MKE Ankaragücü
0.09,0.46,71.43,0.82,0.27,0.0,24.81,76.34,0.64,0.46,1.37,2.2,2.56,3.66,1.1,54.17,1.01,Nazım Sangaré,nazim-sangare,,Fatih Karagümrük
0.09,1.54,65.38,1.54,0.54,0.27,25.21,78.15,1.72,0.99,0.72,0.54,0.27,3.8,1.08,51.92,1.81,Serdar Gürler,serdar-gurler,,Başakşehir FK
0.09,1.42,51.61,1.95,0.71,0.27,11.09,73.96,1.42,0.36,0.18,0.36,0.18,2.4,0.89,32.46,0.62,Julien Ngoy,julien-ngoy,,Kasımpaşa
