Top Çalma,Pas Arası,Top Uzaklaştırma,İsabetli Pas,İsabetli Pas %,İsabetli Orta,İsabetli Orta %,İsabetli Uzun Top,İsabetli Uzun Top %,Başarılı Top Sürme,Zeminde Kazanılan İkili Mücadele,Kazanılan Hava Topu Mücadelesi,Kazanılan Toplam İkili Mücadele,Kazanılan Toplam İkili Mücadele %,player.name,player.slug,team.name,team.shortName
2.42,1.34,1.41,54.58,89.0,0.11,50.0,3.55,67.33,0.25,4.32,0.81,5.13,52.14,Lucas Torreira,lucas-torreira,,Galatasaray
1.33,0.62,1.33,45.58,79.71,1.33,29.36,8.58,53.63,0.62,2.36,0.62,2.98,55.81,Jonjo Shelvey,jonjo-shelvey,,Çaykur Rizespor
2.43,2.24,5.12,62.58,90.71,0.0,0.0,2.69,56.76,0.06,3.33,3.2,6.53,62.58,Ousseynou Ba,ousseynou-ba,,Başakşehir FK
2.78,1.72,1.37,50.83,85.18,0.23,50.0,2.35,62.5,1.13,5.17,2.27,7.43,55.23,İsmail Yüksek,ismail-yuksek,,Fenerbahçe
0.76,1.69,4.02,48.7,83.12,0.04,50.0,2.29,35.63,0.04,1.41,4.58,5.99,68.66,Victor Nelsson,victor-nelsson,,Galatasaray
0.49,0.27,0.83,12.54,72.27,0.11,27.27,0.38,52.63,0.61,2.35,2.69,5.04,44.19,Krzysztof Piątek,krzysztof-piatek,,Başakşehir FK
2.88,1.66,1.79,45.94,84.99,0.09,25.0,4.62,61.99,0.65,5.24,1.53,6.76,61.02,Berat Ayberk Özdemir,berat-ayberk-ozdemir,,Trabzonspor
2.13,1.16,2.39,54.81,82.67,0.0,0.0,3.49,41.86,0.45,3.42,2.91,6.33,57.31,Davinson Sánchez,davinson-sanchez,,Galatasaray
1.79,1.24,1.06,22.31,78.36,0.22,16.67,1.31,53.73,2.08,6.23,1.13,7.36,52.6,Ibrahim Olawoyin,ibrahim-olawoyin,,Çaykur Rizespor
1.31,1.08,3.12,57.5,89.2,0.04,11.11,2.73,52.59,0.62,2.85,3.54,6.38,63.12,Léo Duarte,leo-duarte,,Başakşehir FK
1.98,0.77,0.61,20.13,73.49,0.77,21.84,0.81,44.44,1.17,4.52,0.93,5.45,48.56,Emre Kılınç,emre-kilinc,,Yılport Samsunspor
2.08,0.55,0.93,24.55,75.85,0.55,19.7,0.93,51.16,2.38,5.99,2.38,8.37,50.26,Barış Alper Yılmaz,baris-alper-yilmaz,,Galatasaray
1.84,1.42,1.47,37.79,83.59,0.53,30.3,1.26,52.17,0.89,3.58,1.58,5.16,49.25,Sacha Boey,boey-sacha,,Galatasaray
1.68,1.29,2.84,53.61,85.58,0.06,33.33,6.77,56.0,0.13,2.0,1.35,3.35,52.26,Semih Güler,semih-guler,,Adana Demirspor
1.41,0.42,0.5,24.37,79.95,1.71,26.97,0.91,50.0,1.12,3.83,1.16,4.99,45.28,Miguel Cardoso,miguel-cardoso,,Kayserispor
1.6,2.27,3.41,48.9,85.0,0.0,0.0,4.34,58.33,0.16,2.69,2.58,5.27,60.36,Alexander Djiku,alexander-djiku,,Fenerbahçe
2.37,0.72,0.79,35.92,80.06,0.39,27.27,3.09,59.49,1.32,5.0,0.99,5.99,51.41,Salih Uçan,salih-ucan,,Beşiktaş
1.08,0.46,1.2,28.93,80.13,1.74,31.03,2.55,55.0,1.08,3.63,0.54,4.17,47.58,Deniz Türüç,deniz-turuc,,Başakşehir FK
1.04,1.74,2.61,53.65,88.65,0.09,40.0,2.17,42.37,0.7,2.87,2.17,5.04,57.43,Jerome Opoku,opoku-jerome,,Başakşehir FK
1.2,0.58,0.42,32.45,83.75,2.09,41.22,3.4,65.19,1.16,3.55,0.5,4.06,44.3,Alexandru Maxim,alexandru-maxim,,Gaziantep FK
0.97,0.43,0.55,30.45,81.86,2.07,27.42,2.25,57.81,1.46,4.13,0.55,4.68,45.03,Ramzi Safuri,ramzi-safuri,,Antalyaspor
1.07,0.39,0.39,23.4,73.03,1.26,22.41,1.26,48.15,0.68,2.72,0.39,3.11,36.78,Cengiz Ünder,cengiz-under,,Fenerbahçe
0.27,0.0,1.81,10.79,79.87,0.18,40.0,0.36,66.67,0.54,1.72,1.27,2.99,35.48,M'Baye Niang,mbaye-niang,,Adana Demirspor
1.6,0.8,0.4,25.1,78.3,1.12,38.89,1.52,55.88,1.44,3.6,0.48,4.08,45.13,Dimitrios Pelkas,dimitrios-pelkas,,Başakşehir FK
1.28,0.94,1.07,55.64,87.17,1.21,25.0,4.56,68.69,0.54,2.89,1.21,4.09,53.98,Amir Hadžiahmetović,amir-hadziahmetovic,,Beşiktaş
1.36,0.36,0.41,30.14,81.82,1.0,23.66,1.58,53.03,1.27,4.16,0.18,4.34,48.0,Enis Bardhi,enis-bardhi,,Trabzonspor
2.18,1.93,2.18,28.76,73.82,1.34,22.69,2.82,41.01,0.3,3.17,1.68,4.85,56.0,Zeki Yavru,zeki-yavru,,Yılport Samsunspor
0.95,0.48,1.05,22.43,76.38,1.43,40.54,2.47,74.29,2.47,4.94,2.28,7.22,47.8,Didier Lamkel Zé,didier-lamkel-ze,,Hatayspor
0.88,0.2,0.34,33.5,81.97,0.25,25.0,1.23,46.3,1.18,3.05,0.2,3.24,48.53,Efkan Bekiroğlu,efkan-bekiroglu,,MKE Ankaragücü
1.33,1.39,1.87,43.83,84.29,0.53,33.33,3.84,55.38,0.32,2.24,2.51,4.75,56.69,Kaan Ayhan,kaan-ayhan,,Galatasaray
0.86,0.76,0.11,37.38,86.93,0.54,22.73,4.21,78.0,2.59,4.11,0.32,4.43,48.24,Alex Oxlade-Chamberlain,alex-oxlade-chamberlain,,Beşiktaş
1.14,0.25,0.4,19.36,72.95,1.53,25.0,1.49,51.72,0.99,3.47,0.35,3.81,44.25,Milot Rashica,milot-rashica,,Beşiktaş
1.04,0.64,2.03,52.9,85.54,0.0,0.0,2.86,58.59,0.25,1.63,3.7,5.33,65.85,Steven​ N'Zonzi,steven-nzonzi,,Konyaspor
2.5,1.29,0.93,36.0,88.73,0.0,0.0,2.0,66.67,1.43,7.5,0.57,8.07,64.94,Badou Ndiaye,badou-ndiaye,,Pendikspor
1.81,1.1,1.75,34.04,84.14,0.35,38.89,1.35,43.55,0.4,3.76,1.45,5.21,61.54,Jonas Svensson,jonas-svensson,,Beşiktaş
1.85,1.14,3.57,48.74,86.82,0.22,62.5,2.6,44.36,0.26,3.26,2.51,5.77,65.5,Necip Uysal,necip-uysal,,Beşiktaş
1.97,1.08,1.21,27.75,87.2,0.25,50.0,0.64,50.0,1.4,4.77,0.51,5.28,58.45,Bright Osayi-Samuel,bright-osayi-samuel,,Fenerbahçe
1.81,0.29,0.33,31.09,81.94,0.66,28.57,1.33,56.25,1.14,5.64,0.59,6.23,57.29,Efecan Karaca,efecan-karaca,,Alanyaspor
2.23,0.52,1.09,35.74,79.56,0.95,26.32,4.64,62.03,0.52,4.07,0.99,5.07,56.02,Pedrinho,pedrinho,,MKE Ankaragücü
2.07,0.41,0.83,24.44,81.1,0.1,10.0,0.41,66.67,1.97,5.8,1.04,6.84,50.77,Thuram,thuram,,Pendikspor
0.8,0.68,0.23,28.64,86.6,0.23,18.18,0.68,75.0,1.25,3.07,0.34,3.41,38.46,Nicolas Pépé,nicolas-pepe,,Trabzonspor
1.74,1.02,5.05,33.91,84.43,0.06,100.0,3.97,55.46,0.18,1.98,1.62,3.61,60.61,Samba Camara,samba-camara,,Sivasspor
2.32,1.25,1.98,34.79,81.38,0.82,35.42,1.83,50.0,0.68,4.1,0.77,4.87,56.11,Bünyamin Balcı,bunyamin-balci,,Antalyaspor
0.61,0.85,2.7,53.11,90.27,0.0,0.0,3.69,55.32,0.09,1.47,2.41,3.88,61.19,Stefano Denswil,stefano-denswil,,Trabzonspor
1.56,0.37,0.28,14.8,77.4,1.29,32.56,0.55,66.67,1.93,4.96,0.28,5.24,51.82,Modou Barrow,modou-barrow,,Sivasspor
1.85,1.19,3.89,47.8,87.14,0.0,0.0,4.09,59.05,0.26,2.77,1.12,3.89,54.13,Ibrahim Drešević,ibrahim-dresevic,Fatih Karagümrük,
1.27,1.36,0.38,26.17,76.39,1.19,36.84,0.8,61.29,1.86,3.85,0.17,4.02,42.22,Sam Larsson,sam-larsson,Antalyaspor,
1.06,1.83,4.63,31.33,85.4,0.0,0.0,2.07,48.11,0.24,1.79,2.72,4.5,63.07,Caner Osmanpaşa,caner-osmanpasa,Sivasspor,
1.23,0.78,0.95,28.2,73.64,0.65,20.21,1.33,39.39,1.06,3.27,1.6,4.88,51.25,Mortadha Ben Ouanes,mortadha-ben-ouanes,Kasımpaşa,
2.12,0.66,1.41,37.85,80.41,0.35,19.51,4.37,65.13,0.79,3.57,2.03,5.6,45.85,Ali Karimi,ali-karimi,Kayserispor,
1.93,1.74,3.54,46.83,83.13,0.0,0.0,3.66,43.07,0.93,3.29,2.61,5.9,62.91,Francisco Calvo,francisco-calvo,Konyaspor,
1.62,1.21,5.03,27.85,78.27,0.0,0.0,2.08,34.48,0.0,2.41,2.58,4.99,60.3,Arda Kızıldağ,arda-kizildag,Gaziantep FK,
1.99,1.61,2.16,38.35,81.55,1.06,20.83,1.86,40.37,0.3,2.62,0.68,3.3,47.56,Güray Vural,guray-vural,Antalyaspor,
1.53,1.04,4.89,46.1,87.07,0.0,0.0,2.38,44.83,0.31,3.12,3.85,6.97,72.61,Bahadır Öztürk,bahadir-ozturk,Antalyaspor,
2.14,0.77,0.51,29.06,83.91,0.6,26.92,0.26,30.0,1.11,4.11,1.11,5.23,47.29,Abdülkadir Ömür,abdulkadir-omur,Trabzonspor,
0.9,0.24,0.24,20.68,85.86,0.17,18.52,0.14,36.36,1.98,3.51,0.73,4.24,46.04,Oluwafisayo Dele-Bashiru,dele-bashiru-oluwafisayo,Hatayspor,
2.25,0.44,0.91,29.0,78.26,0.87,22.22,2.4,44.59,1.16,4.75,0.47,5.23,44.72,Florian Loshaj,florian-loshaj,İstanbulspor,
2.51,1.39,2.02,35.02,78.64,0.53,21.33,1.92,34.73,1.16,4.46,0.76,5.22,56.83,Münir Levent Mercan,munir-levent-mercan,Fatih Karagümrük,
2.67,1.58,2.18,32.52,78.87,0.64,24.07,3.37,55.74,0.59,5.54,1.63,7.18,59.92,Ahmet Oğuz,ahmet-oguz,Konyaspor,
1.75,1.68,1.53,29.6,77.93,0.04,4.0,2.28,45.07,0.21,3.28,2.18,5.46,64.56,Gökhan Gül,gokhan-gul,Kasımpaşa,
1.39,1.57,4.3,35.74,77.55,0.0,0.0,3.96,41.74,0.17,1.65,2.39,4.04,61.18,Kenneth Omeruo,kenneth-omeruo,Kasımpaşa,
2.06,1.61,0.96,25.99,78.79,0.51,18.99,1.17,43.59,1.27,5.62,0.65,6.27,56.13,Mustafa Eskihellaç,mustafa-eskihellac,Gaziantep FK,
0.99,0.33,0.19,15.77,71.92,0.47,32.26,1.18,54.35,2.04,3.84,0.52,4.36,48.68,Altin Zeqiri,zeqiri-altin,Çaykur Rizespor,
1.05,1.39,4.18,47.27,88.51,0.0,0.0,3.07,50.57,0.21,1.74,2.02,3.76,55.67,Nikola Maksimović,nikola-maksimovic,Hatayspor,
2.2,1.13,1.36,36.41,82.78,0.4,17.5,1.02,38.3,2.71,6.22,1.02,7.24,55.9,Loide Augusto,loide-augusto,Alanyaspor,
0.94,0.09,0.52,12.2,71.15,0.0,0.0,0.38,47.06,0.94,2.87,1.7,4.57,33.11,Sokol Cikalleshi,sokol-cikalleshi,,Konyaspor
1.2,2.32,4.93,30.59,72.9,0.18,33.33,4.12,36.11,0.18,1.65,2.25,3.91,65.68,Papy Djilobodji,papy-djilobodji,,Gaziantep FK
1.52,1.52,1.4,28.54,76.46,0.78,27.03,2.29,51.3,0.93,3.54,0.82,4.35,49.12,Erdoğan Yeşilyurt,erdogan-yesilyurt,,Antalyaspor
1.11,0.26,0.07,20.7,75.24,0.92,25.93,2.29,66.04,1.51,5.44,0.46,5.9,51.14,Emrah Başsan,emrah-bassan,,Sivasspor
0.82,0.92,4.31,59.57,86.09,0.18,50.0,3.57,42.86,0.27,1.74,2.57,4.31,58.02,Nuno Lima,nuno-lima,,Alanyaspor
2.76,1.65,1.88,34.41,81.68,0.77,31.82,3.31,54.55,0.55,4.3,0.55,4.85,61.11,Ömer Ali Şahiner,omer-ali-sahiner,,Başakşehir FK
2.17,1.59,4.34,47.87,84.39,0.07,33.33,3.66,42.19,0.14,3.05,2.0,5.05,55.81,Veysel Sarı,veysel-sari,,Antalyaspor
1.5,0.93,3.76,38.74,80.44,0.0,0.0,3.23,42.2,0.18,2.21,2.87,5.09,53.0,Rick Van Drongelen,rick-van-drongelen,,Yılport Samsunspor
3.14,1.71,2.05,22.67,76.67,0.0,0.0,1.5,38.6,0.34,4.37,1.71,6.08,54.94,Júnior Morais,junior-morais,,Gaziantep FK
1.27,1.05,3.03,46.01,85.48,0.04,33.33,4.49,55.05,0.6,2.62,1.12,3.74,54.35,Andreaw Gravillon,andreaw-gravillon,,Adana Demirspor
0.72,0.61,0.69,11.43,67.16,0.32,20.45,0.11,10.71,0.9,2.81,0.97,3.79,43.03,Mamadou Fall,mamadou-fall,,Kasımpaşa
0.96,1.39,4.95,37.6,82.42,0.14,50.0,2.69,46.67,0.29,1.34,2.55,3.89,57.45,Simon Deli,simon-deli,,İstanbulspor
1.29,0.65,1.22,26.62,75.66,2.01,23.73,1.73,36.92,0.22,2.23,2.23,4.46,57.41,Faouzi Ghoulam,faouzi-ghoulam,,Hatayspor
1.22,1.0,3.44,46.0,86.35,0.0,0.0,3.44,43.97,0.17,1.94,1.22,3.16,54.81,Ömer Toprak,omer-toprak,,Antalyaspor
1.43,0.44,0.31,44.91,86.67,1.24,39.22,3.17,66.23,1.12,2.86,0.19,3.05,47.57,Nicolas Janvier,nicolas-janvier,,Alanyaspor
0.78,0.17,1.29,21.38,76.31,0.09,25.0,1.12,61.9,1.21,4.31,2.93,7.24,53.5,Bengali-Fodé Koita,bengali-fode-koita,,Sivasspor
2.1,1.71,3.77,30.23,79.15,0.0,0.0,2.18,36.84,0.16,3.19,1.98,5.17,60.73,Uğurcan Yazğılı,ugurcan-yazgili,,Konyaspor
1.75,1.66,1.41,34.99,80.34,0.58,22.58,1.5,50.0,0.58,3.24,1.16,4.4,50.0,Mert Müldür,mert-muldur,,Fenerbahçe
2.16,0.55,0.4,18.81,74.71,0.62,17.53,0.59,34.78,1.57,4.65,0.81,5.45,44.08,Halil Akbunar,halil-akbunar,,Pendikspor
1.02,0.22,0.65,14.36,58.93,0.0,0.0,0.15,18.18,0.58,3.77,5.58,9.36,52.23,Enis Destan,enis-destan,,Trabzonspor
2.19,1.03,0.27,35.58,89.02,0.07,16.67,0.89,65.0,1.37,6.24,0.48,6.72,57.99,Édouard Michut,edouard-michut,Adana Demirspor,
0.68,0.36,0.5,19.09,71.6,0.27,20.69,0.77,50.0,1.68,3.85,1.0,4.85,39.05,Güven Yalçın,guven-yalcin,Fatih Karagümrük,
1.27,1.31,5.12,44.45,89.18,0.0,0.0,2.51,50.34,0.1,1.75,2.3,4.05,64.84,Uroš Radaković,uros-radakovic,MKE Ankaragücü,
2.93,0.63,1.74,36.5,83.17,0.42,31.58,3.41,55.68,0.56,4.25,0.49,4.74,54.84,Kamil Ahmet Çörekçi,kamil-ahmet-corekci,Hatayspor,
2.2,0.49,0.8,21.74,75.89,0.61,23.88,0.46,26.09,0.42,3.41,0.99,4.4,39.86,Carlo Holse,carlo-holse,Yılport Samsunspor,
0.42,0.79,6.21,29.74,83.12,0.0,0.0,3.54,45.95,0.04,0.58,1.37,1.96,48.45,Aaron Appindangoyé,aaron-appindangoye,Sivasspor,
3.71,0.67,0.22,21.57,79.95,1.48,50.0,1.19,41.03,1.41,6.6,0.59,7.19,53.89,Gustavo Sauer,gustavo-sauer,Çaykur Rizespor,
1.36,0.71,2.17,34.97,79.91,1.01,20.2,5.61,59.36,0.35,2.63,0.86,3.49,54.76,Jure Balkovec,jure-balkovec,Alanyaspor,
2.05,1.85,1.81,38.22,79.41,0.05,25.0,3.56,51.41,0.34,3.42,2.44,5.86,59.11,Chandrel Massanga,chandrel-massanga,Hatayspor,
1.96,0.63,0.95,19.3,73.85,0.13,9.52,0.89,58.33,2.09,5.76,3.54,9.3,56.98,Jackson Muleka,jackson-muleka,Beşiktaş,
1.09,0.57,1.4,36.37,80.81,0.87,23.26,3.49,48.78,1.0,3.31,0.61,3.92,54.88,Léo Dubois,leo-dubois,Başakşehir FK,
1.77,0.73,1.27,19.72,68.95,0.81,25.61,1.31,40.0,0.96,3.23,1.38,4.61,48.19,Rigoberto Rivas,rigoberto-rivas,Hatayspor,
1.69,0.55,0.34,20.47,74.69,0.93,21.78,1.86,50.0,1.95,5.16,0.13,5.29,44.64,Olimpiu Moruțan,olimpiu-morutan,MKE Ankaragücü,
1.23,0.57,0.28,24.66,78.88,0.9,22.89,1.32,58.33,0.57,2.73,0.8,3.54,43.86,Alexandru Cicâldău,alexandru-cicaldau,Konyaspor,
0.92,0.42,0.83,27.97,81.98,0.97,26.92,2.77,56.6,1.02,2.96,0.55,3.51,46.34,João Novais,joao-novais,Alanyaspor,
2.22,0.76,1.08,34.76,85.28,0.22,50.0,2.11,59.09,1.35,4.16,0.54,4.7,54.38,Arnaud Lusamba,arnaud-lusamba,Pendikspor,
0.99,0.56,1.12,29.5,80.0,0.74,24.0,2.98,61.54,1.18,3.35,0.99,4.34,48.61,Olivier Kemen,olivier-kemen,Başakşehir FK,
0.97,0.97,4.13,34.96,81.48,0.0,0.0,3.06,43.51,0.27,1.77,2.2,3.97,53.62,Attila Mocsi,attila-mocsi,Çaykur Rizespor,
1.33,0.48,0.37,34.42,79.36,0.8,27.78,1.81,56.67,1.71,4.32,0.43,4.74,42.58,Fredrik Midtsjø,fredrik-midtsjo,Pendikspor,
1.33,1.48,4.05,27.28,75.0,0.0,0.0,3.61,42.2,0.05,1.83,2.57,4.4,60.96,Alim Öztürk,alim-ozturk,Yılport Samsunspor,
1.79,0.92,1.13,26.09,79.78,0.56,28.95,1.28,51.02,0.72,3.02,0.62,3.64,52.99,Gökcan Kaya,gokcan-kaya,Pendikspor,
1.35,1.03,1.48,47.58,86.11,0.58,16.67,5.16,62.5,0.71,2.9,0.84,3.74,43.94,Görkem Sağlam,gorkem-saglam,Hatayspor,
1.19,0.62,1.28,51.08,87.33,0.33,33.33,3.37,64.55,0.24,2.66,1.19,3.85,50.0,Jakub Kałuziński,jakub-kaluzinski,Antalyaspor,
1.08,1.65,3.88,36.55,78.66,0.0,0.0,3.31,36.62,0.19,2.67,2.48,5.15,60.0,Alpaslan Öztürk,alpaslan-ozturk,Pendikspor,
1.39,0.76,0.76,14.37,67.96,0.13,6.25,0.44,53.85,0.95,3.99,1.39,5.38,41.46,Benhur Keser,benhur-keser,Çaykur Rizespor,
2.68,0.22,0.86,29.7,80.66,0.26,30.0,2.07,53.93,0.91,6.04,0.43,6.47,59.29,Charis Charisis,charis-charisis,Sivasspor,
1.2,0.62,0.54,26.86,81.43,0.35,14.29,1.12,48.33,1.28,3.33,0.35,3.68,44.39,Alassane Ndao,ndao-alassane,Konyaspor,
2.31,1.01,2.63,30.53,75.66,1.17,24.0,2.67,39.05,0.55,3.71,0.91,4.62,59.92,Nuno Sequeira,nuno-sequeira,Pendikspor,
1.06,0.81,1.15,29.96,81.34,0.25,18.18,1.1,49.06,0.51,3.18,0.93,4.12,46.41,Marcus Rohdén,marcus-rohden,Fatih Karagümrük,
1.57,0.52,0.35,43.04,82.58,2.01,32.39,2.36,60.0,1.57,4.28,0.7,4.98,39.04,Rachid Ghezzal,rachid-ghezzal,Beşiktaş,
3.43,1.12,2.59,23.18,73.07,0.14,6.45,1.61,40.35,0.77,5.88,1.96,7.84,66.27,Mehmet Aydın,mehmet-aydin,Trabzonspor,
1.88,0.92,1.64,36.38,81.45,0.58,25.53,2.41,43.48,0.43,3.08,0.58,3.66,54.68,Florent Hadergjonaj,florent-hadergjonaj,Alanyaspor,
0.88,0.0,0.25,22.28,81.94,0.38,23.08,0.63,71.43,1.01,3.65,0.5,4.15,42.31,Garry Rodrigues,garry-rodrigues,MKE Ankaragücü,
0.3,0.25,0.9,11.14,71.34,0.0,0.0,0.5,71.43,0.94,2.24,1.59,3.83,32.77,Ali Sowe,ali-sowe,MKE Ankaragücü,
1.17,0.7,3.99,46.24,87.56,0.0,0.0,3.82,48.1,0.37,2.14,1.68,3.82,58.46,Guy-Marcelin Kilama,guy-marcelin-kilama,Hatayspor,
1.92,1.42,2.12,26.57,81.32,0.44,27.08,1.69,47.17,0.67,3.91,1.28,5.19,56.62,Eren Elmalı,eren-elmali,Trabzonspor,
0.65,0.05,0.81,12.8,66.48,0.11,18.18,0.38,31.82,0.43,2.28,3.09,5.37,50.77,Cenk Tosun,cenk-tosun,Beşiktaş,
1.32,0.6,0.54,31.89,81.62,0.36,27.27,2.33,73.58,0.6,4.31,0.6,4.91,47.67,Flavien Tait,flavien-tait,Yılport Samsunspor,
1.07,0.93,3.96,48.1,86.23,0.0,0.0,2.72,39.9,0.14,2.27,1.45,3.72,57.14,Fidan Aliti,fidan-aliti,Alanyaspor,
2.09,0.9,0.4,18.18,79.52,0.35,28.0,0.75,65.22,2.34,7.47,0.6,8.07,50.47,Marlos Moreno,marlos-moreno,Konyaspor,
2.16,2.5,1.33,25.73,76.49,0.42,20.0,1.25,46.88,0.58,3.66,1.08,4.75,53.77,Nazım Sangaré,nazim-sangare,Fatih Karagümrük,
